number,1,2,3,4,5,6,7,8,9,10
10,1586,1724,5080,5486,9132,9863,13204,14261,17247,18626
10,1414,1538,4739,5120,8491,9170,12283,13266,16065,17350
20,1600,1739,5080,5486,9132,9863,13204,14261,17247,18626
20,1428,1554,4739,5120,8491,9170,12283,13266,16065,17350
30,1614,1754,5080,5486,9132,9863,13204,14261,17247,18626
30,1443,1569,4739,5120,8491,9170,12283,13266,16065,17350
40,1628,1770,5080,5486,9132,9863,13204,14261,17247,18626
40,1457,1585,4739,5120,8491,9170,12283,13266,16065,17350
50,1643,1785,5080,5486,9132,9863,13204,14261,17247,18626
50,1471,1600,4739,5120,8491,9170,12283,13266,16065,17350
60,1657,1800,5080,5486,9132,9863,13204,14261,17247,18626
60,1485,1615,4739,5120,8491,9170,12283,13266,16065,17350
70,1671,1816,5080,5486,9132,9863,13204,14261,17247,18626
70,1500,1631,4739,5120,8491,9170,12283,13266,16065,17350
80,1685,1831,5080,5486,9132,9863,13204,14261,17247,18626
80,1514,1646,4739,5120,8491,9170,12283,13266,16065,17350
90,1700,1847,5080,5486,9132,9863,13204,14261,17247,18626
90,1528,1662,4739,5120,8491,9170,12283,13266,16065,17350
100,1714,1862,5080,5486,9132,9863,13204,14261,17247,18626
100,1542,1677,4739,5120,8491,9170,12283,13266,16065,17350
110,1728,1877,5080,5486,9132,9863,13204,14261,17247,18626
110,1557,1692,4739,5120,8491,9170,12283,13266,16065,17350
120,1742,1893,5080,5486,9132,9863,13204,14261,17247,18626
120,1571,1708,4739,5120,8491,9170,12283,13266,16065,17350
130,1757,1908,5080,5486,9132,9863,13204,14261,17247,18626
130,1585,1723,4739,5120,8491,9170,12283,13266,16065,17350
140,1771,1923,5080,5486,9132,9863,13204,14261,17247,18626
140,1599,1739,4739,5120,8491,9170,12283,13266,16065,17350
150,1785,1939,5080,5486,9132,9863,13204,14261,17247,18626
150,1614,1754,4739,5120,8491,9170,12283,13266,16065,17350
160,1799,1954,5080,5486,9132,9863,13204,14261,17247,18626
160,1628,1769,4739,5120,8491,9170,12283,13266,16065,17350
170,1814,1969,5080,5486,9132,9863,13204,14261,17247,18626
170,1642,1785,4739,5120,8491,9170,12283,13266,16065,17350
180,1828,1985,5080,5486,9132,9863,13204,14261,17247,18626
180,1656,1800,4739,5120,8491,9170,12283,13266,16065,17350
190,1860,2019,5080,5486,9132,9863,13204,14261,17247,18626
190,1689,1835,4739,5120,8491,9170,12283,13266,16065,17350
200,1896,2058,5080,5486,9132,9863,13204,14261,17247,18626
200,1725,1874,4739,5120,8491,9170,12283,13266,16065,17350
210,1933,2097,5080,5486,9132,9863,13204,14261,17247,18626
210,1761,1913,4739,5120,8491,9170,12283,13266,16065,17350
